Subj_idx,Stimulus,Response,Confidence,RT_decConf,Difficulty,Orientation
1,2,2,2,1.4998709119390696,1,3.8541687956264847
1,2,2,4,0.7077629539417103,1,-13.973910494598773
1,1,1,3,0.9067419877974316,2,3.4374188969059345
1,1,1,2,0.6435553636983968,2,-2.8778538915107905
1,1,1,2,0.4904328923439607,6,0.16275068563385486
1,2,2,3,0.6172768869437277,1,6.491514831383713
1,1,1,2,0.6833234606310725,1,-3.5050520899296447
1,2,1,3,0.8887645937502384,1,2.0256309058640367
1,1,1,3,0.6482686006347649,3,-1.8582169927002383
1,2,2,4,0.5298882915521972,2,-18.525555908774738
1,2,2,1,0.4642281801789068,6,-18.621628729700454
1,1,1,2,0.6245959384250455,1,0.01596506938456186
1,2,2,2,0.715272831148468,3,10.4049336434326
1,1,1,2,0.6261677657603286,2,1.972439216124961
1,2,2,1,0.5244104685843922,6,15.794449348353634
1,1,1,2,0.6829344325233251,2,-1.2778822748885477
1,1,2,2,0.8832120440201834,2,-3.985657655509169
1,2,1,1,0.4362611356191337,6,1.625296462627143
1,1,1,3,0.6460556627716869,3,0.7867524398848114
1,2,1,2,0.6400252467137761,5,-10.252240549440113
1,1,1,2,0.6499639034736902,3,-2.85354439455468
1,1,1,1,0.5795697086723521,4,5.205287599109387
1,1,2,3,0.768100147950463,4,3.5785923860519064
1,2,2,1,0.4522991622798145,5,5.207748393283198
1,1,1,1,0.6148788961581886,5,0.7833532906186496
1,1,2,1,0.465530927060172,6,2.030360528289658
1,2,2,2,0.6581998808542266,1,-9.92503651558909
1,1,1,2,0.4916660439339466,3,1.1377312969090838
1,2,2,1,0.7390798732521944,6,27.787513240134
1,2,2,2,0.9537614651490004,4,-14.590187817891008
1,2,1,2,1.207246120728087,2,6.317700583146597
1,1,1,2,0.8269838587148115,2,-1.090707864567472
1,2,2,4,0.6011041597812437,3,-12.432377254554444
1,1,2,1,0.32445998699404305,6,-3.97174771718988
1,2,2,1,1.1788236600114033,4,21.491163107527246
1,1,2,1,0.383269933226984,6,-6.1945801094420885
1,2,2,1,0.723139344190713,3,9.567157624882864
1,2,1,2,0.5541026424616575,4,-5.310008889896453
1,2,2,3,0.6629759780480526,1,18.405555255913324
1,2,1,2,1.248599835729692,2,2.009268929820564
1,1,1,2,0.9136864433530718,4,-0.10932942903092616
1,2,2,3,0.7527250405400991,1,-16.951846598181657
1,2,2,1,0.390000150713604,6,11.699856660827685
1,2,1,1,0.5057169164647348,4,3.4766278106224204
1,1,1,2,0.6170334637863562,1,1.2394455898497985
1,1,1,2,0.5475757586536929,1,0.2491930354926997
1,1,1,2,0.5768625480122864,2,-1.5838275428985211
1,1,2,2,0.9572867713868618,3,-2.549824956221979
1,2,2,1,0.5066745733493008,4,2.8869004467534283
1,2,2,4,0.601514034322463,1,15.299454459680595
1,1,2,1,0.5008090051705949,6,1.2242216838756832
1,2,2,3,1.5879217851324938,2,-6.614287331231298
1,1,1,3,1.016661497822497,3,-1.90321960676642
1,1,1,3,0.6558378102490678,1,-4.758316278072308
1,2,1,2,0.6956241879961453,3,4.24143641738911
1,1,1,1,0.4548636044492014,5,-0.058086798728226564
1,1,2,1,0.3703665811917745,4,-0.904963637264432
1,2,1,1,0.8296339319786057,5,-4.7231746869529365
1,1,2,1,0.5120327694457956,5,1.6374305041904051
1,2,2,3,0.5594422370195389,2,-14.347853184307024
1,2,1,2,0.956593063485343,4,4.383940709182154
1,1,1,2,0.6176428234903142,3,0.050912914707185536
1,1,2,1,0.7086199061013758,5,3.1374618304082347
1,1,1,1,0.5875635457923636,5,2.38439226858505
1,1,1,2,0.8718301669578068,2,-2.3210607068171663
1,1,1,2,0.8244187750387937,2,0.7969641539365042
1,2,1,3,1.2747673448757268,1,1.4673982096619906
1,2,2,2,0.8006021115579642,4,11.927550409867175
1,1,1,1,0.4276265086955391,6,-0.33082163700947753
1,2,2,1,0.4339362680329941,6,22.701071871163613
1,2,1,1,0.7076436477364041,4,-4.514845727864081
1,1,2,1,0.4430699285003357,5,5.655275032024488
1,2,2,4,0.5408554832683876,1,-23.44720440730236
1,1,2,1,0.41065904818242416,6,-1.45204443384407
1,2,2,1,0.33430371194845065,6,0.9335335488033368
1,1,1,2,0.7076064447173849,3,-1.7830598449730293
1,1,1,2,0.6194551875232719,2,-3.9675889432284617
1,1,2,1,0.67787353991298,5,-4.239003517428201
1,2,2,1,0.3821705200243741,5,12.524267237744606
1,2,2,1,0.3823748158756644,5,11.547351993240724
1,2,1,1,1.4796238134149462,1,2.8263207572604787
1,2,1,1,0.5765120058204047,3,-1.6779663953093364
1,1,1,2,0.9570468761376104,3,-0.1321037130370064
1,1,1,1,1.1395385607611388,3,1.1798255281360817
1,2,2,1,1.017150589148514,4,-14.562538002864766
1,2,2,1,0.3882249896996655,6,19.4945960019937
1,1,1,2,0.8717191993491724,4,-5.038206415073891
1,2,1,1,0.4407482680981048,4,4.482148899479047
1,2,1,1,0.8742515700287186,3,-3.0107015363110783
