Subj_idx,Stimulus,Response,Confidence,RT_decConf,Difficulty,Orientation,Task
1,2,2,1,0.555902613185026,2,5.730132742249568,A
1,2,2,1,0.5920195204707852,3,7.090177411242144,A
1,2,2,1,0.5959108493443637,4,3.6442444824231695,A
1,1,2,1,0.5675015506931231,3,4.240249441745282,A
1,1,2,1,1.6541624357996625,2,-1.5960339631719913,A
1,1,1,1,0.6195798660519358,5,-2.225171301114435,A
1,2,2,1,0.9915874428079404,1,4.266021866118404,A
1,1,1,1,0.7954440053399594,5,-0.6930378368790415,A
1,2,2,1,0.4592630818006001,4,4.158043137122434,A
1,1,2,1,0.608377341835876,4,-3.719904517366708,A
1,2,2,1,0.4910807008964184,5,6.55473127173766,A
1,2,1,1,0.6076473769062432,5,2.000876067291581,A
1,2,1,1,0.5289715255967167,6,-3.4340574200375653,A
1,2,1,1,0.5467908804421313,4,4.0342157038572015,A
1,1,1,1,0.3827771252836101,1,-11.506984674881279,A
1,2,1,1,0.5947822260604879,6,0.08827582297653036,A
1,2,1,1,0.5830819401671761,3,4.177974748411408,A
1,1,1,1,0.5870367721436196,5,-5.269355325570531,A
1,1,1,1,0.6074838083113718,5,-5.9164849658442185,A
1,2,2,2,1.428809817192814,1,10.314923631129137,A
1,1,1,1,0.5685416545056796,2,-8.64030573516998,A
1,1,1,1,1.1218454514128098,1,-9.533993704925484,A
1,1,1,1,0.4485265677067217,6,-7.0654130883393,A
1,2,1,1,0.4466015898869955,6,5.500522125475316,A
1,1,1,1,0.7627139300784621,4,-4.3526840689413575,A
1,1,2,1,1.661673120677733,6,-8.982800859038637,A
1,2,1,1,0.5886516110876983,2,-2.1033277970234394,A
1,2,1,1,1.4023633416472876,2,4.727800427294167,A
1,2,1,1,0.5759843461673881,4,3.6585175096254714,A
1,2,1,1,0.4960422815202037,3,-4.7317076553421575,A
1,2,2,1,0.929461846502818,6,2.8461649255021317,A
1,1,1,1,0.7814505519309023,2,-2.278509274578407,A
1,2,2,1,0.6431735129226581,1,14.751774628749617,A
1,1,1,1,0.7668095593326143,1,-7.630432746557643,A
1,2,1,1,0.5448973334459879,2,-6.521115408974673,A
1,1,2,1,0.5465881836753397,6,-0.9290804300833876,A
1,1,2,1,0.5828734703936789,4,0.11956002435555035,A
1,1,2,1,0.4368307719341829,3,-5.491472363803369,A
1,2,2,1,0.4515769615900354,6,7.963734616204553,A
1,2,2,1,0.6001706886345346,6,-3.253217406330004,A
1,1,1,1,0.7049123176111607,3,-5.8270152443959145,A
1,1,2,1,0.6475728666009672,6,-2.064458022821939,A
1,1,2,1,1.240374629804137,1,1.0077724008801008,A
1,1,2,1,0.5542329306554166,4,-7.810523876949379,A
1,2,2,1,0.5733954722927592,4,0.4150347960690097,A
1,2,2,1,1.0433132838879828,5,-2.447369621853033,A
1,2,2,1,0.4836960600514431,2,5.6069683955853735,A
1,1,2,1,1.7503542382546584,2,2.085230470477532,A
1,1,1,1,0.7197614592623722,5,-3.487922828617157,A
1,1,2,1,0.6008227179445385,6,-0.8095458684591117,A
1,2,2,1,0.5889627121323429,3,3.8877100630308266,A
1,2,2,1,0.5930836784827989,3,2.852968308168568,A
1,1,2,1,0.9305128548876382,5,-3.2264114514484907,A
1,2,1,1,0.7489350401774573,1,-2.9226408628010976,A
1,2,2,1,0.6596769424068043,3,9.661023297253966,A
1,1,1,1,0.7004635726334527,5,-3.718490067732739,A
1,1,2,1,0.6758057677470788,6,-4.765007445782119,A
1,1,1,2,1.7339316308934942,4,0.2277783923833825,A
1,1,2,1,0.8900706808744872,4,-2.913478236608305,A
1,1,1,1,0.5112836670668912,4,-6.837079130472523,A
1,2,2,1,1.0072322975502177,3,3.9474477816296623,A
1,1,2,1,0.7250334994860168,6,-6.014586708586196,A
1,1,2,1,0.4343596033031645,5,3.817368202247371,A
1,1,2,1,0.5157930286441115,5,-0.848159764506752,A
1,1,2,1,1.000435220743384,5,-4.3745319282664905,A
