subject,stimtype,task,s,contrast_id,Chat,g,tf,resp,rt,C
1,grate,A,-8.39236,6,1,1,0,5,1.08259,-1
1,grate,A,9.28899,3,1,1,1,5,1.20253,1
1,grate,A,-2.24247,3,1,1,1,5,1.1099,1
1,grate,A,0.290254,5,1,1,1,5,0.861229,1
1,grate,A,2.17336,6,1,1,1,5,1.11826,1
1,grate,A,4.23354,3,1,1,1,5,0.933145,1
1,grate,A,-1.31959,2,1,1,0,5,1.10708,-1
1,grate,A,8.35859,6,1,1,1,5,1.0504,1
1,grate,A,12.7321,2,1,2,1,6,1.9717,1
1,grate,A,5.23653,5,1,1,1,5,1.16038,1
1,grate,A,0.46398,2,1,1,1,5,1.38854,1
1,grate,A,3.16001,2,1,1,1,5,1.20802,1
1,grate,A,-0.186336,3,1,1,1,5,1.09949,1
1,grate,A,5.76186,3,1,1,1,5,2.30652,1
1,grate,A,-2.04627,3,1,1,1,5,0.986233,1
1,grate,A,-9.75885,4,-1,1,1,4,1.07824,-1
1,grate,A,-3.13949,6,1,1,1,5,0.958885,1
1,grate,A,3.16067,6,1,1,1,5,0.972242,1
1,grate,A,7.97022,4,1,1,0,5,0.744787,-1
1,grate,A,8.00342,5,1,1,1,5,0.67092,1
1,grate,A,0.169268,4,1,1,1,5,0.679189,1
1,grate,A,3.32613,5,1,1,1,5,0.623822,1
1,grate,A,0.800788,5,1,1,0,5,0.698677,-1
1,grate,A,-6.12775,1,-1,2,1,3,1.61742,-1
1,grate,A,3.96096,5,1,1,0,5,0.643661,-1
1,grate,A,4.47358,1,1,1,1,5,1.11799,1
1,grate,A,4.17232,5,-1,1,0,4,1.79675,1
1,grate,A,-11.7468,1,-1,3,1,2,2.04871,-1
1,grate,A,-8.20435,6,1,1,0,5,0.754022,-1
1,grate,A,8.77089,1,1,3,1,7,1.20696,1
1,grate,A,-0.886722,4,-1,1,1,4,0.746655,-1
1,grate,A,-0.158976,6,1,1,0,5,1.15262,-1
1,grate,A,8.46439,2,1,2,0,6,1.70156,-1
1,grate,A,10.3161,4,1,1,1,5,1.07703,1
1,grate,A,3.29012,6,-1,1,0,4,1.18193,1
1,grate,A,8.21004,3,1,1,1,5,2.22624,1
1,grate,A,13.7968,2,1,3,1,7,1.86857,1
1,grate,A,-6.49597,4,-1,1,1,4,0.7415,-1
1,grate,A,4.52257,1,1,2,1,6,2.02691,1
1,grate,A,7.3141,6,1,1,1,5,0.829272,1
1,grate,A,1.63504,3,1,1,0,5,0.720272,-1
1,grate,A,5.76376,4,1,1,1,5,1.71896,1
1,grate,A,-13.551,5,-1,1,1,4,1.04507,-1
1,grate,A,15.0004,6,-1,1,0,4,0.908394,1
1,grate,A,9.15481,2,1,2,1,6,1.37475,1
1,grate,A,-9.40609,6,-1,1,1,4,0.939458,-1
1,grate,A,3.6888,3,1,1,0,5,0.745397,-1
1,grate,A,-7.10681,2,-1,2,1,3,1.58344,-1
1,grate,A,-6.60929,5,1,1,1,5,0.851101,1
1,grate,A,0.785406,1,1,1,0,5,1.34836,-1
1,grate,A,-2.38767,4,-1,1,1,4,0.913993,-1
1,grate,A,-3.79615,5,-1,1,0,4,1.02531,1
1,grate,A,-8.50535,3,-1,1,1,4,2.60395,-1
1,grate,A,-5.66064,2,-1,2,1,3,1.60723,-1
1,grate,A,-4.02019,4,-1,1,1,4,0.906487,-1
1,grate,A,-1.51891,4,-1,1,1,4,0.826016,-1
1,grate,A,-7.36702,4,-1,1,1,4,0.956578,-1
1,grate,A,6.68718,4,1,1,1,5,0.889524,1
1,grate,A,-8.20452,4,-1,1,0,4,1.01789,1
1,grate,A,-6.35235,1,-1,2,1,3,2.34033,-1
1,grate,A,-5.02323,3,-1,2,1,3,1.21054,-1
1,grate,A,5.95927,3,1,1,1,5,0.925807,1
1,grate,A,0.64197,3,1,1,1,5,1.30834,1
1,grate,A,-7.76126,6,1,1,0,5,1.0357,-1
1,grate,A,11.8427,4,1,1,1,5,1.01342,1
1,grate,A,5.74202,3,1,1,1,5,1.08822,1
1,grate,A,10.3866,4,1,1,1,5,1.40033,1
1,grate,A,5.70485,1,1,2,1,6,1.63559,1
1,grate,A,-3.384,1,-1,1,1,4,2.32555,-1
1,grate,A,-0.750452,2,-1,1,1,4,1.13234,-1
1,grate,A,7.44913,3,1,1,1,5,0.882252,1
1,grate,A,2.4653,3,1,1,1,5,0.89822,1
1,grate,A,-5.18345,4,1,1,0,5,0.785561,-1
1,grate,A,-1.29973,5,-1,1,0,4,1.07753,1
1,grate,A,-6.92023,4,-1,1,1,4,0.926172,-1
1,grate,A,9.90939,6,-1,1,0,4,0.956763,1
1,grate,A,-7.96217,5,-1,1,1,4,0.841883,-1
1,grate,A,2.76613,5,1,1,1,5,0.972118,1
1,grate,A,-7.96226,6,1,1,0,5,1.08068,-1
1,grate,A,2.76777,5,1,1,1,5,0.913346,1
1,grate,A,-0.524892,1,1,1,1,5,1.07189,1
1,grate,A,10.9919,1,1,3,1,7,1.92874,1
1,grate,A,3.54146,5,1,1,1,5,0.991301,1
1,grate,A,-11.3841,3,-1,1,1,4,1.48501,-1
1,grate,A,1.87177,2,-1,1,0,4,1.36496,1
1,grate,A,11.0342,2,1,1,1,5,1.16967,1
1,grate,A,-0.65488,2,1,1,0,5,1.01428,-1
1,grate,A,5.4604,3,1,1,1,5,0.960913,1
1,grate,A,2.34058,4,1,1,1,5,0.845974,1
1,grate,A,1.50291,5,1,1,1,5,1.7439,1
1,grate,A,-6.54917,3,-1,1,1,4,1.00588,-1
1,grate,A,-5.32184,1,-1,1,1,4,1.14555,-1
1,grate,A,-8.04067,3,-1,1,1,4,1.10317,-1
1,grate,A,2.00711,1,-1,1,0,4,1.22278,1
1,grate,A,12.9936,6,1,1,1,5,1.28899,1
1,grate,A,-9.57684,6,1,1,0,5,1.00142,-1
1,grate,A,12.9963,4,1,2,1,6,1.52482,1
1,grate,A,8.86572,3,1,2,1,6,1.62694,1
1,grate,A,2.42229,3,1,1,0,5,1.2937,-1
1,grate,A,-1.51372,5,1,1,0,5,0.925976,-1
1,grate,A,3.54818,5,1,1,0,5,0.86071,-1
1,grate,A,-2.08084,2,1,1,1,5,1.03758,1
1,grate,A,-13.1382,5,1,1,0,5,1.01594,-1
1,grate,A,-10.9862,3,-1,2,1,3,2.16251,-1
1,grate,A,-2.76659,5,1,1,1,5,1.05557,1
1,grate,A,-4.6927,2,-1,1,1,4,1.04879,-1
1,grate,A,8.00789,2,1,1,1,5,1.49004,1
1,grate,A,5.06857,1,1,1,1,5,1.73845,1
1,grate,A,-5.8331,6,1,1,0,5,0.904499,-1
1,grate,A,-2.38099,2,-1,1,1,4,0.919801,-1
1,grate,A,2.72302,3,-1,1,1,4,1.62247,-1
1,grate,A,6.51966,3,1,1,1,5,1.19272,1
1,grate,A,-0.389547,4,1,1,0,5,1.08508,-1
1,grate,A,-8.90224,6,1,1,0,5,0.981002,-1
1,grate,A,-8.52348,5,-1,1,1,4,1.07275,-1
1,grate,A,7.4614,3,1,1,1,5,0.953624,1
1,grate,A,4.54197,2,1,1,1,5,0.854705,1
1,grate,A,-3.14637,3,-1,1,1,4,0.871971,-1
1,grate,A,0.0369235,5,1,1,1,5,0.95264,1
1,grate,A,-2.00349,1,-1,1,0,4,2.37384,1
1,grate,A,-7.30012,5,-1,1,1,4,1.00249,-1
1,grate,A,8.43158,6,-1,1,0,4,1.01409,1
1,grate,A,-6.98942,5,-1,1,1,4,0.913616,-1
1,grate,A,11.3654,4,1,1,1,5,0.864224,1
1,grate,A,-9.60536,5,-1,1,1,4,0.913254,-1
1,grate,A,6.30059,4,1,1,0,5,0.864795,-1
1,grate,A,0.656568,4,-1,1,0,4,0.913168,1
1,grate,A,12.9752,4,1,1,1,5,0.880865,1
1,grate,A,0.92766,1,1,1,0,5,1.07275,-1
1,grate,A,-3.16666,4,-1,1,1,4,0.713486,-1
1,grate,A,3.50134,1,1,1,0,5,1.6487,-1
1,grate,A,-4.26294,2,-1,1,1,4,1.5277,-1
