subject_name,session_start_time,task,block_type,block_no,section_no,stim_type,stim_category,stim_reliability,stim_orientation,stim_phase,resp_buttonid,resp_category,resp_confidence,resp_rt,resp_correct,resp_rtConf
jeh,2016-02-11 16:48:55,B,Test,1,0,grate,1,0.016572675401761255,2.126679241938492,30.371643875972666,-1,-1,1,0.5247787295666058,0,0.11553176265442744
jeh,2016-02-11 16:48:55,B,Test,1,0,grate,1,0.03337326996032608,4.223960792067393,93.71502783570325,2,1,2,0.4549468460318167,1,0.13038126478204504
jeh,2016-02-11 16:48:55,B,Test,1,0,grate,-1,0.06720551273974976,1.5500262939248513,79.21484901172033,1,1,1,0.920004284766037,0,0.11486370983766392
jeh,2016-02-11 16:48:55,B,Test,1,0,grate,-1,0.06720551273974976,-4.961489446136555,265.73736756748895,2,1,2,0.39520791577524506,0,0.13001789277768694
jeh,2016-02-11 16:48:55,B,Test,1,0,grate,-1,0.00822974704902003,1.3858952261186381,49.391022463317555,-1,-1,1,0.3599922643043101,1,0.1203665663197171
jeh,2016-02-11 16:48:55,B,Test,1,0,grate,1,0.004086771438464067,-0.19818623017779774,191.0340451550607,-1,-1,1,0.3596994499966968,0,0.11528641439508647
jeh,2016-02-11 16:48:55,B,Test,1,0,grate,1,0.06720551273974976,-5.186382116055642,300.222270880465,2,1,2,0.5705866901844274,1,0.3854257369530387
jeh,2016-02-11 16:48:55,B,Test,1,0,grate,1,0.06720551273974976,-1.8259817312193505,205.55750363981275,-1,-1,1,0.4110936534416396,0,0.12556538337958045
jeh,2016-02-11 16:48:55,B,Test,1,0,grate,-1,0.016572675401761255,4.4558930332945215,260.7896619023658,2,1,2,0.4549381866818294,0,0.15542602876666933
jeh,2016-02-11 16:48:55,B,Test,1,0,grate,1,0.06720551273974976,3.861053374408857,135.55894359697075,-1,-1,1,0.5203714412054978,0,0.15517394550261088
jeh,2016-02-11 16:48:55,B,Test,1,0,grate,1,0.004086771438464067,-12.146827717529005,314.0252737519071,-1,-1,1,0.3301527862204239,0,0.10516684161848389
jeh,2016-02-11 16:48:55,B,Test,1,0,grate,-1,0.016572675401761255,-5.023537612527874,250.9630896374914,1,1,1,0.5349371090705972,0,0.12508879840606824
jeh,2016-02-11 16:48:55,B,Test,1,0,grate,-1,0.03337326996032608,5.345130208505052,115.50660251030783,-1,-1,1,0.32543793055810966,1,0.17523316902224906
jeh,2016-02-11 16:48:55,B,Test,1,0,grate,-1,0.1353352832366127,-3.233605715085152,119.82669064857713,-1,-1,1,0.4406268471502699,1,0.11572355122189038
