subject_name,task,block_type,stim_type,stim_category,stim_orientation,stim_cue_validity,stim_cue_validity_id,resp_confidence,resp_correct,resp_category,resp_rt
hsv,B,Test,grate,1,-24.46715243108845,0,2,4,1,1,0.7547839389881119
hsv,B,Test,grate,1,2.4212182615669335,-1,3,2,0,-1,1.7180657000280917
hsv,B,Test,grate,-1,3.1082723326806176,-1,3,3,1,-1,0.9614527050871402
hsv,B,Test,grate,1,2.227457326881963,0,2,3,0,-1,1.1909432879183441
hsv,B,Test,grate,-1,-3.256449404028454,1,1,2,1,-1,0.5920404209755361
hsv,B,Test,grate,1,10.154524841685559,1,1,3,1,1,0.6443746299482882
hsv,B,Test,grate,-1,2.9165185331454415,1,1,3,1,-1,0.7180913629708812
hsv,B,Test,grate,1,-30.342545516829183,1,1,4,1,1,0.6079711359925568
hsv,B,Test,grate,1,-12.906851304569583,-1,3,2,1,1,1.3061899569584057
hsv,B,Test,grate,1,11.560541018036577,0,2,3,1,1,1.0195975359529257
hsv,B,Test,grate,1,7.50942684529353,1,1,4,1,1,2.5197661969577894
hsv,B,Test,grate,1,-31.567525861014015,0,2,4,1,1,0.5859540899982676
hsv,B,Test,grate,1,2.5869249853636864,0,2,4,1,1,1.7966184120159596
hsv,B,Test,grate,1,-5.194642816979097,1,1,2,1,1,1.6876958740176633
hsv,B,Test,grate,-1,0.8645205703661741,0,2,2,1,-1,1.0192170090740547
hsv,B,Test,grate,1,-18.40037313809784,1,1,4,1,1,0.6072120449971408
hsv,B,Test,grate,-1,-6.973189974078968,1,1,2,1,-1,1.6196388829266652
hsv,B,Test,grate,1,-14.380824302628447,1,1,4,1,1,0.6808625119738281
hsv,B,Test,grate,1,-15.287141417354247,1,1,4,1,1,0.9967154120095074
hsv,B,Test,grate,1,-9.926087205103517,1,1,3,1,1,1.5089606699766591
hsv,B,Test,grate,1,10.044447138228342,1,1,2,0,-1,3.5086331530474126
hsv,B,Test,grate,-1,-1.8044533315852909,1,1,3,1,-1,0.7093280840199441
hsv,B,Test,grate,1,-3.210834798424483,1,1,4,0,-1,0.5919385709566996
hsv,B,Test,grate,1,-6.368122651382788,0,2,3,0,-1,1.0553867690032348
hsv,B,Test,grate,1,-14.30360552661815,1,1,3,1,1,2.3750328520545736
hsv,B,Test,grate,-1,5.863351518042219,0,2,2,1,-1,1.3277012560283765
hsv,B,Test,grate,1,23.5718757345955,-1,3,4,1,1,1.2829296150011942
hsv,B,Test,grate,-1,1.1201356651835248,1,1,3,1,-1,1.4640970740001649
hsv,B,Test,grate,1,-8.966687378641472,1,1,4,1,1,1.8307456759503111
hsv,B,Test,grate,1,-11.934575572650665,0,2,2,1,1,1.143698162981309
hsv,B,Test,grate,-1,3.36381708533333,1,1,2,1,-1,1.3438159390352666
hsv,B,Test,grate,-1,-5.684842481577744,0,2,3,0,1,1.0328179210191593
hsv,B,Test,grate,-1,0.9502791531503191,1,1,2,1,-1,0.9528746990254149
hsv,B,Test,grate,-1,1.7835836117973058,1,1,3,1,-1,0.39624984795227647
hsv,B,Test,grate,1,-8.29348348362973,-1,3,3,1,1,1.641576271969825
hsv,B,Test,grate,1,1.7939145701463253,1,1,3,0,-1,0.5806098440662026
hsv,B,Test,grate,-1,-0.4605478686214143,1,1,2,1,-1,1.5865995830390602
hsv,B,Test,grate,1,-12.687019170385506,-1,3,3,1,1,0.7612027409486473
hsv,B,Test,grate,1,8.9409473283507,1,1,4,1,1,0.6648222419898957
hsv,B,Test,grate,-1,-0.6225741036586798,1,1,3,1,-1,0.5934105908963829
hsv,B,Test,grate,-1,-2.471062874873976,1,1,2,1,-1,1.517917247954756
hsv,B,Test,grate,-1,1.1718567355135785,-1,3,2,1,-1,2.0865252160001546
hsv,B,Test,grate,1,1.9633122787540995,-1,3,3,0,-1,1.173453418072313
hsv,B,Test,grate,-1,-1.2634974977013176,-1,3,2,1,-1,1.2324112999485806
hsv,B,Test,grate,1,-2.8273660845842734,0,2,4,0,-1,1.060751741984859
hsv,B,Test,grate,-1,-3.2585491265448177,1,1,3,1,-1,1.1013399478979409
hsv,B,Test,grate,-1,-2.8967024204344414,-1,3,3,0,1,1.7233206829987466
hsv,B,Test,grate,-1,-4.688145093859107,-1,3,2,1,-1,2.2163923049811274
hsv,B,Test,grate,1,8.998159710192104,1,1,2,1,1,1.6801216210005805
hsv,B,Test,grate,-1,3.0096310635553767,1,1,3,1,-1,0.7445007979404181
hsv,B,Test,grate,1,7.6343191952882545,1,1,4,1,1,0.4756508689606562
hsv,B,Test,grate,-1,0.45861120379454506,-1,3,3,0,1,1.47959504800383
hsv,B,Test,grate,-1,-2.2688470709703994,1,1,2,1,-1,1.4965309139806777
hsv,B,Test,grate,1,10.21443403282186,0,2,3,1,1,0.6378280530916527
hsv,B,Test,grate,-1,-2.693676405684772,-1,3,3,0,1,0.8260026549687609
hsv,B,Test,grate,-1,-2.6788934570161134,1,1,3,1,-1,1.25475694402121
hsv,B,Test,grate,-1,-3.7461884864401176,1,1,2,1,-1,1.9728495859308168
